Num,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
2849,20:21:00,Friday,18-30,Male,Junior high school,Employee,Below 1yr,,,,,Residential areas,other,,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,Self-employed,Normal,Not a Pedestrian,Moving Backward,Serious Injury
2850,20:21:00,Friday,Over 51,Male,Junior high school,Owner,2-5yr,Automobile,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Self-employed,Normal,Not a Pedestrian,No distancing,Serious Injury
2851,8:05:00,Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Pick up upto 10Q,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2852,8:05:00,Thursday,18-30,Male,Writing & reading,Employee,2-5yr,Public (12 seats),Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,Other,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2853,17:00:00,Sunday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),,,,Unknown,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Male,Under 18,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
2854,17:00:00,Sunday,31-50,Male,High school,Employee,2-5yr,Lorry (41?100Q),Owner,,No defect, Industrial areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
2855,8:45:00,Sunday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,Under 18,3,Other,Normal,Not a Pedestrian,Other,Slight Injury
2856,8:48:00,Wednesday,Over 51,Male,High school,Employee,5-10yr,Public (13?45 seats),Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,Under 18,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
2857,9:50:00,Tuesday,18-30,Male,Elementary school,Employee,2-5yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
2858,9:50:00,Tuesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Governmental,,No defect,Residential areas,other,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,2,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2859,12:30:00,Monday,31-50,Male,Elementary school,Employee,1-2yr,Motorcycle,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Turnover,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
2860,12:30:00,Monday,Unknown,Male,High school,Employee,No Licence,Lorry (41?100Q),Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2861,12:30:00,Monday,18-30,Male,Junior high school,Owner,5-10yr,Ridden horse,Owner,,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Other,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2862,8:38:00,Tuesday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
2863,10:30:00,Monday,31-50,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,,,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2864,10:30:00,Monday,Unknown,Male,Junior high school,Employee,5-10yr,Pick up upto 10Q,Owner,,7, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
2865,18:04:00,Saturday,31-50,Male,,,,Public (> 45 seats),Owner,Above 10yr,,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Driver or rider,Male,18-30,2,Self-employed,Normal,Not a Pedestrian,Turnover,Slight Injury
2866,18:04:00,Saturday,31-50,Male,,,,Stationwagen,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
2867,7:45:00,Wednesday,31-50,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2868,7:45:00,Wednesday,Unknown,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Driving to the left,Slight Injury
2869,7:27:00,Tuesday,31-50,Male,Junior high school,Owner,Above 10yr,Automobile,Governmental,,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2870,7:27:00,Tuesday,31-50,Male,,,,Automobile,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Male,Under 18,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
2871,10:05:00,Monday,31-50,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,2-5yrs,,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2872,14:35:00,Monday,31-50,Male,,,,Lorry (41?100Q),Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Unknown,Driver or rider,Male,31-50,3,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2873,18:43:00,Wednesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,na,na,na,na,,,Not a Pedestrian,Moving Backward,Slight Injury
2874,18:43:00,Wednesday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Below 1yr,,Other,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Getting off,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2875,8:47:00,Wednesday,18-30,Male,High school,Owner,Above 10yr,Public (12 seats),Owner,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2876,8:47:00,Wednesday,Over 51,Male,,,,Taxi,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Over 51,1,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
2877,8:55:00,Monday,31-50,Male,Elementary school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2878,8:55:00,Monday,Unknown,Male,Elementary school,Owner,Above 10yr,Public (12 seats),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury
2879,13:15:00,Monday,18-30,Male,Junior high school,Owner,Below 1yr,Stationwagen,Owner,2-5yrs,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Male,Over 51,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2880,13:15:00,Monday,31-50,Male,Junior high school,Owner,2-5yr,Stationwagen,Owner,5-10yrs,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Student,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2881,8:20:00,Wednesday,31-50,Male,Junior high school,Owner,2-5yr,Automobile,Organization,2-5yrs,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,,,Not a Pedestrian,Driving carelessly,Slight Injury
2882,8:20:00,Wednesday,31-50,Male,High school,Owner,5-10yr,Lorry (41?100Q),Owner,,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,3,,,Not a Pedestrian,Overtaking,Slight Injury
2883,13:31:00,Sunday,18-30,Male,Junior high school,Owner,,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2884,13:31:00,Sunday,18-30,Male,,Owner,Below 1yr,Public (12 seats),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
2885,18:30:00,Tuesday,18-30,Male,Elementary school,Owner,Above 10yr,Automobile,Owner,,No defect, Industrial areas,Unknown,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,Driver or rider,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
2886,1:55:00,Friday,18-30,Male,Elementary school,Owner,Below 1yr,Automobile,Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,,,Not a Pedestrian,Changing lane to the right,Slight Injury
2887,8:50:00,Tuesday,18-30,Male,Junior high school,Owner,5-10yr,Lorry (41?100Q),Owner,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
2888,8:50:00,Tuesday,31-50,Male,Junior high school,Owner,5-10yr,Automobile,Organization,Above 10yr,, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Overtaking,Slight Injury
2889,8:59:00,Monday,31-50,Male,,Owner,,Motorcycle,Owner,Unknown,,Office areas,One way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,,,Not a Pedestrian,Other,Fatal injury
2890,8:59:00,Monday,18-30,Male,Junior high school,Employee,1-2yr,,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Female,18-30,3,Driver,Normal,Not a Pedestrian,Driving to the left,Fatal injury
2891,8:20:00,Monday,18-30,Male,High school,Owner,5-10yr,Automobile,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Driver,Normal,Not a Pedestrian,Overtaking,Slight Injury
2892,8:20:00,Monday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Driver or rider,Female,18-30,2,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2893,20:15:00,Sunday,Under 18,Male,Junior high school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Female,31-50,3,Other,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2894,20:15:00,Sunday,31-50,Male,Junior high school,Employee,5-10yr,Public (> 45 seats),Owner,1-2yr,,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,Driver or rider,Female,Over 51,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
2895,17:01:00,Friday,31-50,Male,Junior high school,Employee,Above 10yr,,Owner,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,,,Not a Pedestrian,No priority to vehicle,Slight Injury
2896,17:01:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
2897,8:17:00,Tuesday,31-50,Male,Junior high school,Employee,No Licence,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,,na,na,na,na,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2898,8:17:00,Tuesday,18-30,Male,Above high school,Employee,Below 1yr,Other,Owner,,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,Over 51,3,Unemployed,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2899,8:17:00,Tuesday,18-30,Male,Elementary school,Employee,5-10yr,Stationwagen,Owner,Unknown,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the right,Slight Injury
2900,17:52:00,Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,T Shape,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving to the left,Slight Injury
2901,17:52:00,Monday,Unknown,Female,Junior high school,Employee,5-10yr,Taxi,Owner,5-10yrs,,Office areas,Undivided Two way,Tangent road with mountainous terrain and,T Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
2902,7:15:00,Tuesday,Unknown,Male,High school,Employee,5-10yr,Other,,,,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Passenger,Female,Under 18,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2903,7:15:00,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Employee,Normal,Not a Pedestrian,Driving at high speed,Slight Injury
2904,18:46:00,Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2905,18:46:00,Wednesday,18-30,Male,Writing & reading,Employee,5-10yr,Automobile,Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,4,Moving Backward,Driver or rider,Female,Under 18,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury
2906,18:46:00,Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Owner,1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,4,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,Other,Slight Injury
2907,18:46:00,Wednesday,18-30,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury
2908,18:46:00,Wednesday,18-30,Male,Writing & reading,Employee,Below 1yr,Lorry (41?100Q),Owner,,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,4,Going straight,Passenger,Female,31-50,3,,,Not a Pedestrian,Changing lane to the right,Slight Injury
2909,0:41:00,Friday,Unknown,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Not a Pedestrian,Other,Slight Injury
2910,0:41:00,Friday,31-50,Male,Junior high school,Employee,5-10yr,Motorcycle,Owner,,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,,,Not a Pedestrian,No distancing,Slight Injury
2911,8:40:00,Monday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,5-10yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Other,Driver or rider,Female,18-30,3,,,Not a Pedestrian,Driving carelessly,Slight Injury
2912,8:40:00,Monday,18-30,Male,Elementary school,Owner,5-10yr,Stationwagen,Owner,5-10yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,31-50,1,,Normal,Not a Pedestrian,No distancing,Slight Injury
2913,7:00:00,Sunday,Over 51,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury
2914,7:00:00,Sunday,31-50,Male,Junior high school,Owner,Below 1yr,Other,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Going straight,Driver or rider,Male,31-50,2,Driver,Normal,Not a Pedestrian,No distancing,Slight Injury
2915,16:15:00,Wednesday,31-50,Male,Writing & reading,Employee,5-10yr,Other,,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Pedestrian,Male,31-50,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
2916,16:15:00,Wednesday,18-30,Male,Writing & reading,Employee,5-10yr,Taxi,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,na,na,na,na,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
2917,8:35:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury
2918,8:35:00,Wednesday,31-50,Female,Junior high school,Employee,2-5yr,Long lorry,Owner,Unknown,, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
2919,9:40:00,Monday,31-50,Male,Junior high school,Employee,Above 10yr,Long lorry,Governmental,Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Employee,Normal,Not a Pedestrian,Other,Serious Injury
2920,23:21:00,Tuesday,Unknown,Female,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Passenger,Male,18-30,3,,Normal,Not a Pedestrian,No distancing,Serious Injury
2921,12:00:00,Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Lorry (41?100Q),Owner,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Passenger,Female,18-30,3,Driver,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
2922,12:00:00,Saturday,Unknown,Female,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,5-10yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,18-30,3,,,Not a Pedestrian,Moving Backward,Slight Injury
2923,2:25:00,Tuesday,Unknown,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Slight Injury
2924,2:25:00,Tuesday,Unknown,Female,Junior high school,Employee,Below 1yr,Taxi,Owner,5-10yrs,, Church areas,other,Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,2,,,Not a Pedestrian,No distancing,Slight Injury
2925,18:40:00,Friday,18-30,Male,Junior high school,Owner,5-10yr,Other,Owner,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,Serious Injury
2926,18:40:00,Friday,Unknown,Female,Junior high school,Employee,2-5yr,Automobile,Owner,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Driver or rider,Male,31-50,2,,,Not a Pedestrian,Driving carelessly,Serious Injury
